date,branch,region ,CATEGORY,SALES,PROFIT,quantity,orders
2024-11-23,A, WEST ,FURNITURE,554.23,121.78,3,1
2024-05-05, B ,EAST,ELECTRONICS,295.85,38.82,3,1
2024-12-12, E ,WEST,GROCERY,90.75,26.68,10,10
2024-01-17, A , West ,CLOTHING,213.2,30.37,4,2
2024-04-29,E,WEST,Clothing,149.49,30.64,4,2
2024-11-28,E,SOUTH,Clothing,122.28,19.35,4,4
2024-08-17,E,Central,ELECTRONICS,243.33,42.16,4,2
2024-03-22,D,Central,Furniture,274.36,70.52,2,1
2024-03-20,B,CENTRAL,ELECTRONICS,286.92,31.36,4,4
2024-02-17,D,West,FURNITURE,264.12,35.42,3,3
2024-06-25, E , Central ,ELECTRONICS,229.04,43.07,4,2
2024-08-23,E, West ,Grocery,50.73,10.1,11,5
2024-02-10,E,CENTRAL,FURNITURE,390.69,79.71,2,1
2024-10-22, B , West ,Electronics,289.71,39.68,2,1
2024-12-04,B, Central , Electronics ,459.07,63.9,4,2
2024-04-29, A ,SOUTH,FURNITURE,439.4,72.53,1,1
2024-08-20, C , EAST ,FURNITURE,391.99,67.17,1,1
2024-06-30,B,CENTRAL, ELECTRONICS ,238.04,49.64,4,2
2024-11-07, B , East ,Clothing,154.86,46.05,1,1
2024-08-24,D,CENTRAL,Clothing,95.91,13.4,4,4
2024-12-16,C,West, CLOTHING ,313.97,36.05,1,1
2024-01-17,C,South, FURNITURE ,452.55,55.74,3,1
2024-02-03, B ,Central,CLOTHING,147.22,16.59,2,2
2024-12-01, D , South , Grocery ,51.86,8.56,11,5
2024-03-14,C,EAST,Clothing,186.52,36.27,3,3
2024-10-14, E , CENTRAL ,Grocery,51.25,12.43,9,9
2024-10-25,D,CENTRAL,CLOTHING,103.35,20.54,3,1
2024-03-11, E ,South, Electronics ,295.95,54.9,1,1
2024-01-25, A ,EAST,Clothing,181.57,36.62,4,4
2024-12-14,D,WEST,GROCERY,56.02,8.4,18,18
2024-07-14,E, SOUTH , FURNITURE ,353.29,40.77,4,4
2024-10-10,A,WEST,FURNITURE,500.64,66.21,3,3
2024-11-24, C ,West,FURNITURE,552.32,75.84,4,2
2024-08-10, B , South , ELECTRONICS ,278.88,57.97,2,1
2024-05-14,E, EAST ,ELECTRONICS,264.99,49.14,1,1
2024-11-16,C,EAST,Clothing,166.85,45.41,4,4
2024-07-10,B,WEST,Furniture,396.2,57.22,1,1
2024-09-07,A,West,FURNITURE,515.61,86.38,3,1
2024-06-06,B, West ,Clothing,146.1,35.15,4,2
2024-10-17,A, WEST , Grocery ,68.67,20.21,5,2
2024-02-05,E,EAST,CLOTHING,115.16,12.37,1,1
2024-12-03,D,East,Furniture,418.89,84.0,1,1
2024-09-27, E ,SOUTH, Clothing ,125.78,24.89,2,2
2024-10-03,B, Central ,Grocery,48.93,10.69,10,5
2024-12-09,C, SOUTH ,Grocery,75.96,19.8,5,5
2024-03-02,B,East,ELECTRONICS,279.32,82.87,1,1
2024-06-22,A,EAST,Clothing,181.73,23.65,4,4
2024-01-04, A ,WEST,CLOTHING,190.29,45.51,3,1
2024-02-04,A,CENTRAL,Electronics,327.76,79.39,4,4
2024-09-20,B,CENTRAL, Grocery ,51.57,8.75,19,19
2024-04-19, E ,EAST,GROCERY,49.53,11.65,12,12
2024-05-04,D,SOUTH, CLOTHING ,71.16,10.09,1,1
2024-02-18, A , SOUTH , Furniture ,512.88,69.23,3,1
2024-08-04,D,South,ELECTRONICS,196.49,39.95,4,4
2024-12-10,A, West ,GROCERY,99.62,16.72,15,15
2024-06-22, A ,EAST, Clothing ,170.13,41.71,3,3
2024-04-07,E,South,CLOTHING,136.17,18.02,3,3
2024-08-04,B,CENTRAL,Grocery,53.28,11.79,10,5
2024-05-07, A ,South,ELECTRONICS,329.66,75.95,2,2
2024-01-26,E,West,ELECTRONICS,275.35,66.76,1,1
2024-05-01,B,SOUTH,Grocery,41.62,9.57,8,4
2024-09-03,B,South, ELECTRONICS ,239.48,55.44,3,3
2024-03-25, D ,WEST,Grocery,35.16,5.38,7,3
2024-05-15,D,CENTRAL,Grocery,33.73,9.94,18,9
2024-12-22,E,SOUTH,CLOTHING,209.28,54.2,3,3
2024-04-07,C, East ,ELECTRONICS,336.73,72.53,2,2
2024-10-23, E ,West,Furniture,359.21,56.09,1,1
2024-01-30,A, South ,CLOTHING,161.44,36.99,3,1
2024-01-30,E,West, Clothing ,154.8,45.31,1,1
2024-02-05,E,West, CLOTHING ,168.35,26.75,1,1
2024-07-25, A , EAST ,Electronics,357.88,47.92,4,4
